Date,Open,High,Low,Close,Volume,Risk Free Rate
2023-03-15,0.0748,0.07632,0.06756,0.06994,506077300.5,0.0349200010299682
2023-03-16,0.06993,0.07423,0.06897,0.07269,362534637.5,0.0358500003814697
2023-03-17,0.0727,0.07742,0.07162,0.07658,316715887.0,0.0339499998092651
2023-03-18,0.07657,0.07906,0.07257,0.07312,365428711.3,0.0339499998092651
2023-03-19,0.0732,0.07675,0.07318,0.07473,161653557.2,0.0339499998092651
2023-03-20,0.07477,0.07578,0.07051,0.07163,210094115.2,0.0348099994659423
2023-03-21,0.07159,0.07812,0.0706,0.07683,337914066.7,0.0360599994659423
2023-03-22,0.07682,0.07825,0.07165,0.07407,497758659.4,0.035
2023-03-23,0.07407,0.07938,0.07313,0.07748,331349347.7,0.0340599989891052
2023-03-24,0.07749,0.07763,0.07291,0.07458,244837721.2,0.0338000011444091
2023-03-25,0.07453,0.07606,0.07256,0.07412,118047805.9,0.0338000011444091
2023-03-26,0.07413,0.07551,0.07341,0.07442,106546607.4,0.0338000011444091
2023-03-27,0.07445,0.07622,0.07127,0.0729,235672773.9,0.0352800011634826
2023-03-28,0.07292,0.07403,0.07168,0.07385,151404226.0,0.0356399989128112
2023-03-29,0.07388,0.07685,0.0735,0.07558,202978504.8,0.0356599998474121
2023-03-30,0.07557,0.07685,0.07334,0.07422,207780793.3,0.0355100011825561
2023-03-31,0.07422,0.07791,0.07345,0.07698,147548039.3,0.0349399995803833
2023-04-01,0.07696,0.08338,0.07593,0.08186,321106015.9,0.0349399995803833
2023-04-02,0.08189,0.08562,0.07733,0.07907,325717693.8,0.0349399995803833
2023-04-03,0.07906,0.1048,0.07606,0.09608,1459754717.1,0.034300000667572
2023-04-04,0.09608,0.1035,0.09215,0.09516,1391036145.1,0.0333699989318847
2023-04-05,0.0951,0.09917,0.09058,0.09271,775644964.4,0.0328699994087219
2023-04-06,0.09273,0.0928,0.08422,0.08546,797295662.6,0.0328800010681152
2023-04-07,0.08545,0.08628,0.08127,0.08232,497662633.7,0.0328800010681152
2023-04-08,0.0823,0.08393,0.08021,0.08141,214705348.5,0.0328800010681152
2023-04-09,0.08141,0.08391,0.08111,0.08323,169221917.3,0.0328800010681152
2023-04-10,0.08324,0.08548,0.08226,0.08483,237267242.5,0.0341499996185302
2023-04-11,0.0848,0.08589,0.08369,0.08418,238677099.0,0.0343400001525878
2023-04-12,0.0842,0.08478,0.08066,0.08352,382002140.5,0.0342100000381469
2023-04-13,0.08353,0.08893,0.0829,0.08739,447469252.0,0.0345199990272521
2023-04-14,0.08739,0.09149,0.08534,0.08874,676112582.6,0.0352200007438659
2023-04-15,0.08872,0.09063,0.08722,0.08897,201925333.5,0.0352200007438659
2023-04-16,0.08894,0.09188,0.08775,0.09048,258755098.4,0.0352200007438659
2023-04-17,0.09046,0.09491,0.08815,0.09143,646245902.4,0.0359100008010864
2023-04-18,0.09143,0.095,0.08981,0.09413,458167551.8,0.0357200002670288
2023-04-19,0.09413,0.09413,0.08517,0.08792,829079503.8,0.0360199999809265
2023-04-20,0.08793,0.09348,0.08248,0.08391,1000443272.6,0.0354500007629394
2023-04-21,0.08391,0.0847,0.07652,0.07848,487688669.6,0.0356999993324279
2023-04-22,0.07846,0.08105,0.07817,0.08031,131844811.5,0.0356999993324279
2023-04-23,0.08031,0.08085,0.0766,0.07883,139738817.9,0.0356999993324279
2023-04-24,0.07881,0.08011,0.07716,0.07878,155385324.0,0.0351500010490417
2023-04-25,0.07875,0.07997,0.07755,0.07977,157933017.4,0.0339599990844726
