,Open,High,Low,Close,Volume,Risk Free Rate
2023-09-05,1629.75,1646.66,1608.85,1633.85,54592.69579861,0.042680001258850096
2023-09-06,1633.85,1669.0,1608.17,1632.08,64159.11336815,0.04289999961853028
2023-09-07,1632.09,1659.1,1622.41,1647.44,60902.59005054,0.042600002288818356
2023-09-08,1647.44,1658.29,1615.65,1635.94,58305.48970523,0.042579998970031736
2023-09-09,1635.94,1637.14,1629.32,1635.14,13173.50160468,0.042579998970031736
2023-09-10,1635.15,1635.66,1596.78,1616.65,46891.05891276,0.042579998970031736
2023-09-11,1616.68,1618.61,1530.6,1551.36,122138.1334909,0.04288000106811524
2023-09-12,1551.33,1624.99,1549.21,1593.07,92121.78663878,0.042639999389648436
2023-09-13,1592.92,1618.56,1581.65,1608.06,71432.28132924,0.04249000072479248
2023-09-14,1608.06,1644.4,1607.48,1627.18,84810.57469743,0.04288000106811524
2023-09-15,1627.17,1653.52,1611.52,1641.49,46587.30736974,0.04322000026702881
2023-09-16,1641.48,1652.54,1631.88,1634.87,25839.72626893,0.04322000026702881
2023-09-17,1634.87,1635.66,1612.35,1622.83,28240.63467229,0.04322000026702881
2023-09-18,1622.93,1669.43,1603.55,1636.94,82672.75437174,0.04318999767303467
2023-09-19,1636.93,1661.05,1626.77,1643.42,53665.4341842,0.04364999771118164
2023-09-20,1643.41,1649.57,1604.91,1622.27,69413.64809618,0.043489999771118164
2023-09-21,1622.26,1625.23,1567.81,1583.86,70280.57355242,0.044800000190734865
2023-09-22,1583.86,1602.43,1576.52,1593.03,49010.24393275,0.04438000202178955
2023-09-23,1593.04,1598.19,1587.97,1593.85,17727.34147545,0.04438000202178955
2023-09-24,1593.84,1600.89,1570.35,1580.64,32773.52822928,0.04438000202178955
2023-09-25,1580.59,1597.12,1563.0,1587.75,62583.93066252,0.04541999816894531
2023-09-26,1587.75,1598.84,1579.47,1593.0,49000.89806179,0.04558000087738037
2023-09-27,1593.0,1632.94,1582.38,1597.65,80254.4465463,0.04625999927520752
2023-09-28,1597.65,1668.55,1596.93,1652.94,136755.38213349,0.045970001220703126
2023-09-29,1652.94,1688.16,1648.33,1667.21,96959.81985572,0.045729999542236326
2023-09-30,1667.2,1694.25,1665.98,1670.84,52608.92316992,0.045729999542236326
2023-10-01,1670.84,1755.2,1668.51,1733.4,75393.93444956,0.045729999542236326
2023-10-02,1733.42,1743.84,1637.82,1662.62,158288.87222448,0.04683000087738037
2023-10-03,1662.62,1670.61,1643.56,1656.91,75294.23778427,0.048020000457763674
2023-10-04,1656.91,1657.91,1626.01,1646.58,80420.09102569,0.04735000133514404
2023-10-05,1646.58,1655.28,1608.0,1611.63,88002.97784141,0.04717000007629395
2023-10-06,1611.83,1662.23,1611.78,1645.95,71144.41944879,0.047839999198913574
2023-10-07,1645.9,1648.7,1631.01,1634.65,27241.91429218,0.047839999198913574
2023-10-08,1634.64,1642.33,1617.31,1633.78,38081.14823402,0.047839999198913574
2023-10-09,1633.77,1636.51,1548.22,1580.13,102399.55980653,0.047969999313354494
2023-10-10,1580.13,1595.15,1550.18,1567.63,79103.82961904,0.04655000209808349
2023-10-11,1567.63,1578.53,1545.5,1566.46,79781.25310923,0.045949997901916506
2023-10-12,1566.45,1568.05,1520.85,1539.25,68485.99935697,0.04711999893188477
2023-10-13,1539.26,1574.66,1537.31,1552.04,63935.58299379,0.04629000186920166
2023-10-14,1552.03,1561.53,1544.65,1554.87,20369.55429181,0.04629000186920166
2023-10-15,1554.98,1566.92,1548.3,1558.01,28564.73003903,0.04629000186920166
2023-10-16,1558.01,1641.41,1555.2,1600.02,140896.46861986,0.04711999893188477
